CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year,Reason for Stop
2025-02-26 16:13:42.953000,7240239.0,CTCSP1000,CSP Troop I,Racial Profile,1000004022,2500002565,Incident ID,2025-01-02 00:00:00,January,W,H,F,19,True,False,WALLINGFORD,"00000 I 91  (WALLINGFORD, T148)",41 26 3.3936000000,72 48 9.6480000000,I,B,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 21:03:25.737000,21:03:25.737000,2025,,,,2025,STC Violation
2025-02-26 16:13:42.957000,7240240.0,CTCSP1000,CSP Troop I,Racial Profile,1000004022,2500002579,Incident ID,2025-01-02 00:00:00,January,W,N,M,19,True,False,WALLINGFORD,"00000 I 91  (WALLINGFORD, T148)",41 27 17.3664000000,72 46 49.5840000000,V,B,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 21:22:52.387000,21:22:52.387000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.083000,7240267.0,CTCSP1000,CSP Troop I,Racial Profile,1000004225,2500002474,Incident ID,2025-01-02 00:00:00,January,B,N,M,30,True,False,WALLINGFORD,00000 I 91 ,41 29 44.1420000000,72 46 4.3320000000,V,G,1.0,0,14-298,,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 19:10:38.737000,19:10:38.737000,2025,,,,2025,STC Violation
2025-02-26 16:13:42.887000,7240227.0,CTCSP1000,CSP Troop I,Racial Profile,1000003898,2500002339,Incident ID,2025-01-02 00:00:00,January,W,N,M,20,True,False,WALLINGFORD,"00015 I 91  (WALLINGFORD, T148)",41 28 29.4780000000,72 46 19.8840000000,V,B,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 16:48:48.437000,16:48:48.437000,2025,,,,2025,Speed Related
2025-02-26 16:13:42.947000,7240237.0,CTCSP1000,CSP Troop I,Racial Profile,1000004022,2500002550,Incident ID,2025-01-02 00:00:00,January,W,N,M,33,True,False,WALLINGFORD,"00000 EXIT 15 I 91 S  (WALLINGFORD, T148)",41 29 1.5396000000,72 46 7.5000000000,V,B,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 20:39:41.927000,20:39:41.927000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.090000,7240268.0,CTCSP1000,CSP Troop I,Racial Profile,1000004225,2500002507,Incident ID,2025-01-02 00:00:00,January,W,N,F,32,True,False,WALLINGFORD,00000 RT 68 ,41 28 51.1140000000,72 46 11.4960000000,V,G,1.0,0,14-215b(1),,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 19:45:24.753000,19:45:24.753000,2025,,,,2025,Administrative Offense
2025-02-26 16:13:43.090000,7240269.0,CTCSP1000,CSP Troop I,Racial Profile,1000004225,2500002554,Incident ID,2025-01-02 00:00:00,January,B,N,M,67,True,False,MERIDEN,00000 I 91 ,41 32 35.9844000000,72 45 9.9360000000,V,B,1.0,0,14-298,,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 20:47:48.643000,20:47:48.643000,2025,,,,2025,STC Violation
2025-02-26 16:13:42.930000,7240235.0,CTCSP1000,CSP Troop I,Racial Profile,1000004022,2500002516,Incident ID,2025-01-02 00:00:00,January,I,N,M,51,True,False,MERIDEN,"00000 I 91  (MERIDEN, T080)",41 30 47.4228000000,72 46 10.5600000000,V,B,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 19:54:00.783000,19:54:00.783000,2025,,,,2025,Speed Related
2025-02-26 16:13:42.940000,7240236.0,CTCSP1000,CSP Troop I,Racial Profile,1000004022,2500002523,Incident ID,2025-01-02 00:00:00,January,W,H,F,48,True,False,MERIDEN,"00000 E MAIN ST (MERIDEN, T080)",41 31 34.9140000000,72 46 8.0040000000,I,B,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 20:11:55.283000,20:11:55.283000,2025,14-213b,,,2025,Speed Related
2025-02-26 16:13:43.070000,7240266.0,CTCSP1000,CSP Troop I,Racial Profile,1000004225,2500002359,Incident ID,2025-01-02 00:00:00,January,W,N,M,37,True,False,MERIDEN,00000 I 91 ,41 30 39.9348000000,72 46 9.4800000000,V,G,1.0,0,14-298,,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 17:05:05.420000,17:05:05.420000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.607000,7240424.0,CTCSP1000,CSP Troop I,Racial Profile,1000004437,2500001533,Incident ID,2025-01-02 00:00:00,January,W,N,M,27,True,False,NEW HAVEN,"00000 EXIT 4 I 91 S  (NEW HAVEN, T093)",41 18 56.2248000000,72 54 28.9080000000,V,B,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 08:47:54.703000,08:47:54.703000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.623000,7240430.0,CTCSP1000,CSP Troop I,Racial Profile,1000004437,2500001847,Incident ID,2025-01-02 00:00:00,January,W,N,M,22,True,False,NORTH HAVEN,"00000 I 91  (NORTH HAVEN, T101)",41 21 14.2848000000,72 52 4.2600000000,V,B,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 11:58:21.880000,11:58:21.880000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.617000,7240427.0,CTCSP1000,CSP Troop I,Racial Profile,1000004437,2500001662,Incident ID,2025-01-02 00:00:00,January,W,N,F,80,True,False,NORTH HAVEN,"00000 I 91  (NORTH HAVEN, T101)",41 20 19.8960000000,72 52 20.5680000000,V,B,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 10:02:48.643000,10:02:48.643000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.630000,7240433.0,CTCSP1000,CSP Troop I,Racial Profile,1000004437,2500002025,Incident ID,2025-01-02 00:00:00,January,B,N,F,32,True,False,NEW HAVEN,"00000 I 91  (NEW HAVEN, T093)",41 19 11.1108000000,72 53 33.1080000000,V,B,3.0,1,14-219(c)(1),,False,N,False,True,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 13:52:23.540000,13:52:23.540000,2025,53a-173*,,,2025,Speed Related
2025-02-26 16:13:43.590000,7240418.0,CTCSP1000,CSP Troop I,Racial Profile,1000004416,2500001853,Incident ID,2025-01-02 00:00:00,January,W,H,M,48,True,False,WALLINGFORD,"00000 I 91  (WALLINGFORD, T148)",41 26 2.0220000000,72 48 9.6840000000,V,B,1.0,0,14-12(a)*,,False,N,False,False,V,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 12:00:26.450000,12:00:26.450000,2025,,,,2025,Registration
2025-02-26 16:13:43.610000,7240425.0,CTCSP1000,CSP Troop I,Racial Profile,1000004437,2500001565,Incident ID,2025-01-02 00:00:00,January,W,N,F,72,True,False,NORTH HAVEN,"00000 I 91  (NORTH HAVEN, T101)",41 20 50.0172000000,72 52 4.5120000000,V,B,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 09:08:47.897000,09:08:47.897000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.620000,7240429.0,CTCSP1000,CSP Troop I,Racial Profile,1000004437,2500001811,Incident ID,2025-01-02 00:00:00,January,W,H,M,54,True,False,NORTH HAVEN,"00000 I 91  (NORTH HAVEN, T101)",41 21 22.3776000000,72 52 4.9440000000,V,B,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 11:31:11.260000,11:31:11.260000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.627000,7240431.0,CTCSP1000,CSP Troop I,Racial Profile,1000004437,2500001953,Incident ID,2025-01-02 00:00:00,January,W,H,M,23,True,False,NEW HAVEN,"00000 I 91  (NEW HAVEN, T093)",41 19 6.9168000000,72 53 47.7960000000,V,B,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 13:05:41.080000,13:05:41.080000,2025,14-36(a),,,2025,STC Violation
2025-02-26 16:13:43.630000,7240432.0,CTCSP1000,CSP Troop I,Racial Profile,1000004437,2500001983,Incident ID,2025-01-02 00:00:00,January,W,H,M,19,True,False,NORTH HAVEN,"00000 I 91  (NORTH HAVEN, T101)",41 20 45.2652000000,72 52 5.8440000000,V,B,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 13:26:19.960000,13:26:19.960000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.813000,7240507.0,CTCSP1000,CSP Troop I,Racial Profile,1000004668,2500001532,Incident ID,2025-01-02 00:00:00,January,W,N,M,46,True,True,NORTH HAVEN,00000 RT 15 ,41 25 25.4568000000,72 51 15.8400000000,I,B,1.0,0,14-296aa(b1st,,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 08:47:48.933000,08:47:48.933000,2025,,,,2025,Cell Phone
2025-02-26 16:13:43.887000,7240535.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001495,Incident ID,2025-01-02 00:00:00,January,W,H,F,38,False,False,SHELTON,00000 RT 8 ,41 15 57.4884000000,73 7 35.9760000000,V,G,1.0,0,14-219(c)(1),,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 08:25:23.747000,08:25:23.747000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.903000,7240543.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001786,Incident ID,2025-01-02 00:00:00,January,W,N,F,49,True,False,SHELTON,00000 RT 8 ,41 15 46.7064000000,73 7 54.2280000000,V,G,1.0,0,14-219(c)(1),,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 11:21:02.473000,11:21:02.473000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.910000,7240546.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001893,Incident ID,2025-01-02 00:00:00,January,I,N,F,44,True,False,SHELTON,"00000 RT 8  (SHELTON, T126)",41 18 5.6052000000,73 6 4.7160000000,V,G,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 12:25:10.083000,12:25:10.083000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.917000,7240548.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001934,Incident ID,2025-01-02 00:00:00,January,W,H,F,19,True,False,SHELTON,"00000 RT 8  (SHELTON, T126)",41 15 57.4884000000,73 7 35.9760000000,V,G,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 12:51:05.143000,12:51:05.143000,2025,,,,2025,STC Violation
